Location,Price
New York,913451
Austin,552566
New York,960311
San Francisco,1097576
Chicago,427847
New York,921474
Austin,518965
San Francisco,1051433
Chicago,451116
Los Angeles,887446
New York,956165
Chicago,475682
Los Angeles,911761
Los Angeles,861486
Seattle,600509
Los Angeles,852033
Los Angeles,863968
Los Angeles,858216
San Francisco,1099278
New York,965823
Chicago,487831
Austin,560528
Los Angeles,908956
San Francisco,1089374
Chicago,415820
Seattle,637580
Los Angeles,881235
Austin,567924
New York,909425
Seattle,645446
New York,931916
Chicago,470138
Seattle,645784
New York,938984
Chicago,495463
Seattle,605041
Austin,513285
Los Angeles,900637
Chicago,426256
San Francisco,1121602
New York,965977
Seattle,571572
Austin,559183
Los Angeles,919116
San Francisco,1055111
Chicago,497684
Chicago,474464
New York,921614
Los Angeles,909149
San Francisco,1138472
Austin,559693
Chicago,473674
Seattle,626321
San Francisco,1128872
Austin,500828
Austin,581977
San Francisco,1108833
New York,941209
New York,976886
Seattle,646196
Austin,586687
Los Angeles,861039
Chicago,469580
Seattle,646617
San Francisco,1092904
Seattle,572904
Chicago,476401
New York,958666
Chicago,458370
New York,916219
New York,960490
Seattle,661374
Seattle,590567
Austin,586343
New York,975484
Chicago,424472
San Francisco,1114450
New York,900537
San Francisco,1125774
Los Angeles,879445
Los Angeles,851644
New York,965575
San Francisco,1143207
Seattle,629565
San Francisco,1066682
Chicago,416573
New York,978516
Los Angeles,825051
Chicago,421126
Seattle,626861
New York,917167
New York,981799
Los Angeles,820138
San Francisco,1070154
Austin,497030
Austin,578941
Los Angeles,913930
New York,980011
Chicago,486938
Chicago,463055
